"V1","V2","V3","V4","V5","V6"
"H5","D5","C5","D7","S10",6
"H7","S10","D10","C10","DK",6
"S7","D7","C7","H9","H10",6
"H2","S5","D5","C5","H6",6
"D5","HQ","DQ","CQ","CK",6
"C6","SQ","SK","DK","CK",6
"S9","S10","SJ","CQ","SK",5
"C5","HQ","SK","HK","DK",6
"S5","D5","C5","CJ","CQ",6
"H2","S8","D8","C8","S9",6
"D2","C10","SJ","DJ","CJ",6
"H3","S4","H5","D6","H7",5
"C2","SJ","HJ","DJ","DQ",6
"S6","D6","C6","H8","D9",6
"C6","S10","H10","C10","DQ",6
"SA","S2","H2","C2","HK",6
"S8","C9","C10","SJ","CQ",5
"C6","S10","H10","D10","HJ",6
"SA","DA","CA","H2","D3",6
"D3","S4","SK","HK","CK",6
"S4","D4","C4","S9","CK",6
"S4","H4","C4","S9","CQ",6
"D2","D3","D8","D9","DQ",4
"C5","C6","H7","S8","H9",5
"D3","C4","HQ","DQ","CQ",6
"H3","SJ","HJ","DJ","CK",6
"H4","D5","H6","C7","C8",5
"S2","H2","D2","C3","H7",6
"DA","D2","D3","D5","D10",4
"D2","C3","SQ","DQ","CQ",6
"H2","H4","D4","C4","C8",6
"H3","H8","D8","C8","H10",6
"SA","HA","CA","S2","C9",6
"H7","S8","H9","S10","CJ",5
"S2","H2","D2","D6","D7",6
"H7","D7","C7","H10","DQ",6
"C6","C8","S9","H9","D9",6
"CA","S2","D3","S4","S5",5
"H4","D6","S10","D10","C10",6
"SA","HA","DA","H3","C9",6
"S4","S8","H8","D8","HK",6
"D2","S5","H5","C5","CQ",6
"H3","C4","S5","S6","S7",5
"S6","H6","C6","HJ","DJ",3
"D2","C4","H6","D6","C6",6
"D5","S6","H7","S8","S9",5
"D6","S7","H8","H9","S10",5
"H4","S6","D6","C6","C10",6
"D7","C8","H9","H10","HJ",5
"S4","H5","D5","C5","CQ",6
"C6","C10","HQ","DQ","CQ",6
"CA","S5","HK","DK","CK",6
"H3","D3","C3","S4","DJ",6
"C6","C10","SK","DK","CK",6
"S3","S7","H7","D7","S8",6
"HA","S5","H5","C5","H8",6
"C2","S6","H6","D6","C9",6
"S3","H3","C3","S4","C7",6
"H4","D4","C4","D6","C7",6
"S6","H6","D6","S9","H10",6
"S3","H3","D3","C3","C10",2
"C3","C5","C9","C10","CQ",4
"S2","D2","C2","S3","D4",6
"D2","C7","S8","D8","C8",6
"C5","D6","S7","D8","C9",5
"S4","SJ","HJ","CJ","CK",6
"S2","H2","D2","D6","H10",6
"S2","H2","D2","S3","C3",3
"D5","D6","C7","H8","D9",5
"HA","SJ","DJ","CJ","HK",6
"S2","D2","C2","H6","D9",6
"HA","H3","S7","D7","C7",6
"CA","SJ","SQ","DQ","CQ",6
"S2","D3","S4","H4","C4",6
"D7","C8","D9","S10","DJ",5
"H5","C6","S8","H8","D8",6
"S3","D3","C3","C4","CJ",6
"S6","D6","C6","S8","CQ",6
"C2","H3","D3","C3","DQ",6
"S2","H2","D2","C10","CJ",6
"DA","D2","H3","D4","H5",5
"S3","H4","H5","H6","D7",5
"S4","D4","C4","C5","S9",6
"CA","S8","S10","H10","C10",6
"H3","H5","H6","H7","HJ",4
"S5","S6","H6","C6","CQ",6
"S4","D4","C4","H7","CJ",6
"H2","D2","S4","H4","C4",3
"H3","C5","SJ","HJ","DJ",6
"H9","D9","C9","HJ","CJ",3
"S2","H2","D2","H3","CQ",6
"D2","S4","H4","D4","H9",6
"D4","D5","D6","D7","S8",5
"SA","DA","CA","D2","HJ",6
"S2","H2","D2","H8","C10",6
"CA","C10","CJ","HQ","DK",5
"SA","C10","CJ","DQ","CK",5
"SA","S5","S10","SQ","SK",4
"C6","S7","S8","H8","D8",6
"H5","S6","S7","D8","H9",5
"HA","S9","H9","D9","HK",6
"S2","S8","S10","H10","D10",6
"H6","D6","C6","S9","CQ",6
"C4","S8","H8","C8","D10",6
"D2","D6","S8","H8","D8",6
"S8","C9","C10","DJ","CQ",5
"D8","D9","DJ","DQ","DK",4
"S2","H2","D2","H5","H10",6
"SA","HA","DA","H2","C3",6
"S2","D2","C2","D6","H9",6
"S8","C9","H10","SJ","SQ",5
"S4","H7","D7","C7","C9",6
"S3","D3","C3","S6","H9",6
"S3","D3","C3","SQ","DK",6
"HA","S5","H5","D5","C6",6
"D5","S6","C7","H8","S9",5
"C4","S5","H5","D5","S7",6
"S2","H2","C2","C4","CJ",6
"HA","H3","H5","H6","H9",4
"C5","S8","D8","C8","C9",6
"C6","C7","C8","D9","C10",5
"HA","H2","D3","C4","C5",5
"SA","HA","CA","D7","D10",6
"S7","H7","C7","C8","CJ",6
"C3","C4","SQ","HQ","DQ",6
"D2","D4","D9","DJ","DK",4
"SA","S2","S8","S9","SJ",4
"S2","H2","D2","H5","CQ",6
"CA","D4","S6","D6","C6",6
"H3","D3","C3","D4","H8",6
"DA","S10","D10","C10","CK",6
"H2","S7","S10","H10","C10",6
"H3","H4","H5","H6","H10",4
"S6","S9","H9","C9","HK",6
"H2","H3","H4","S5","H6",5
"S2","D2","C2","D8","D10",6
"SA","HA","DA","H3","DK",6
"D4","C10","HJ","DJ","CJ",6
"HA","H10","HJ","DQ","HK",5
"DA","D2","D5","D7","D8",4
"C2","C9","HK","DK","CK",6
"CA","S4","H4","D4","H5",6
"HA","C3","H5","D5","C5",6
"C3","C5","S9","H9","C9",6
"DA","S7","H7","D7","CJ",6
"SA","HA","CA","H7","C8",6
"H4","D4","C4","C6","SJ",6
"S4","D4","C4","H5","HQ",6
"S2","H4","D4","C4","DQ",6
"C8","C9","C10","CJ","SQ",5
"H6","H7","SK","HK","DK",6
"SA","DA","CA","H2","S4",6
"H6","H7","H8","H9","D10",5
"S6","C10","SJ","HJ","DJ",6
"DA","H3","D3","C3","H8",6
"D5","C6","D7","H8","D9",5
"C7","C8","H9","S10","HJ",5
"HA","DA","CA","S4","S9",6
"H5","HJ","DJ","CJ","DK",6
"CA","H5","D5","C5","H9",6
"H2","C8","S10","D10","C10",6
"S2","H2","C2","H4","CK",6
"S5","H5","D5","H9","SJ",6
"HA","DA","CA","H3","D6",6
"CA","H2","S5","D5","C5",6
"S4","H4","C4","SJ","CQ",6
"H7","C8","D9","D10","DJ",5
"SJ","HJ","CJ","HK","CK",3
"S5","C6","SK","HK","CK",6
"SA","S9","H9","C9","H10",6
"S4","H4","C4","D5","HK",6
"SA","HA","CA","D3","H6",6
"S2","D2","C2","C5","C10",6
"H2","S7","D7","C7","SJ",6
"HA","C2","S3","D3","C3",6
"S2","H2","C2","C5","H8",6
"C5","S7","D7","C7","C9",6
"C4","SJ","HJ","DJ","HK",6
"C2","S10","H10","C10","HJ",6
"C4","S6","H6","C6","D10",6
"S3","C5","SQ","HQ","CQ",6
"S4","C7","SK","DK","CK",6
"D5","D6","D8","D9","D10",4
"D4","D10","SJ","HJ","DJ",6
"S4","S5","C6","D7","H8",5
"H3","H4","H5","H6","S7",5
"S2","H7","S10","H10","D10",6
"S3","S4","S7","S10","SJ",4
"S8","H8","D8","C8","DK",2
"S3","S8","SK","HK","CK",6
"S6","S7","H7","C7","C9",6
"S3","S8","H8","D8","SQ",6
"H3","D3","C3","C5","H8",6
"S5","S8","S9","SJ","SQ",4
"S2","H2","SK","DK","CK",3
"S3","S9","H9","C9","C10",6
"H3","H5","D5","C5","HJ",6
"C5","C9","HJ","DJ","CJ",6
"H4","S9","HK","DK","CK",6
"D8","H9","S10","DJ","CQ",5
"H4","S7","H7","C7","H8",6
"S3","CQ","HK","DK","CK",6
"S10","D10","C10","SK","DK",3
"S3","H3","D3","HJ","DJ",3
"S5","H5","D5","S7","C9",6
"S3","H5","D5","C5","CQ",6
"H2","D2","C2","C10","DQ",6
"DA","H2","H3","H4","D5",5
"C2","S8","SQ","HQ","DQ",6
"S3","S5","D5","C5","HK",6
"H6","C8","H9","D9","C9",6
"C3","S8","H8","C8","SQ",6
"DA","S6","H6","C6","DQ",6
"C4","SJ","SQ","HQ","CQ",6
"D3","H5","D5","C5","SQ",6
"H3","H5","H9","H10","HJ",4
"C3","H5","D5","C5","H9",6
"SA","S3","H3","C3","C4",6
"H5","S8","H8","C8","HQ",6
"HA","H7","D7","C7","HQ",6
"SA","HA","CA","C5","S10",6
"CA","C3","C4","C10","CK",4
"SA","DA","CA","C10","HK",6
"C6","SJ","DJ","CJ","DK",6
"HA","S2","S3","H4","S5",5
"S2","H2","D2","S5","H9",6
"S3","S4","S7","S8","SQ",4
"D4","S5","S6","H7","D8",5
"S2","H2","C2","D6","S7",6
"SJ","HJ","DJ","DK","CK",3
"S3","CJ","SK","HK","CK",6
"S9","C10","CJ","SQ","CK",5
"SA","H3","H6","D6","C6",6
"S3","C8","SK","HK","CK",6
"D3","C6","S8","H8","C8",6
"S2","D2","C2","S6","SJ",6
"S2","D2","C2","H8","HJ",6
"C3","S6","H6","C6","S9",6
"C5","H6","C7","H8","H9",5
"D4","S8","H8","D8","H9",6
"D2","S5","H5","C5","H10",6
"H2","D2","C2","H9","C9",3
"C2","H9","HK","DK","CK",6
"S2","H2","D2","D3","H5",6
"S4","S6","D6","C6","DK",6
"H3","D3","C3","D5","D7",6
"H3","D5","H6","D6","C6",6
"H9","H10","SJ","SQ","HK",5
"S6","D6","C6","H8","SK",6
"CA","S2","S5","H5","D5",6
"S2","D5","S8","H8","C8",6
"D2","D3","H4","C5","D6",5
"H2","H7","HK","DK","CK",6
"SA","C3","SQ","HQ","CQ",6
"SA","HA","CA","S5","CJ",6
"S3","H3","D3","CJ","DQ",6
"H5","D6","SK","HK","DK",6
"H2","H10","SQ","HQ","DQ",6
"SA","C6","SQ","HQ","DQ",6
"CA","D2","S10","H10","C10",6
"D6","S10","H10","C10","HK",6
"H3","D3","C3","S4","S7",6
"H4","C5","H6","H7","S8",5
"S2","D2","S10","D10","C10",3
"S4","D4","S6","D6","C6",3
"S6","H8","D8","C8","S9",6
"SJ","HJ","CJ","HQ","DQ",3
"D4","H6","S9","H9","D9",6
"S4","H6","D6","C6","DK",6
"S6","H6","D6","SQ","CK",6
"C3","S8","H8","C8","DJ",6
"D4","C9","SJ","HJ","DJ",6
"H2","S10","H10","C10","CJ",6
"H3","D3","C3","D7","CJ",6
"D3","H5","D5","C5","C8",6
"H2","C3","S4","H5","C6",5
"S9","D10","DJ","SQ","CK",5
"C2","H10","SJ","DJ","CJ",6
"S3","H3","C3","D10","C10",3
"C5","DJ","SQ","HQ","DQ",6
"D4","S5","H5","C5","S6",6
"D9","H10","SJ","HQ","SK",5
"S2","H3","D3","C3","H8",6
"C3","C5","S7","H7","D7",6
"D6","D7","D8","S9","D10",5
"DA","H5","SJ","HJ","CJ",6
"CA","C9","HJ","DJ","CJ",6
"H5","H6","D7","C8","C9",5
"C4","C6","C8","CJ","CK",4
"S2","D2","C2","D10","CQ",6
"SA","S3","D3","C3","SQ",6
"S2","C6","H8","D8","C8",6
"H2","S5","H5","D5","CQ",6
"D3","S8","D8","C8","SQ",6
"SA","S2","S3","C4","H5",5
"D4","H7","SJ","DJ","CJ",6
"H2","C3","S8","H8","C8",6
"C6","H7","D7","C7","S8",6
"CA","H6","D6","C6","D10",6
"DA","D4","D5","DQ","DK",4
"D4","S8","H8","D8","DJ",6
"C4","S6","D6","C6","C8",6
"C3","DQ","HK","DK","CK",6
"C4","C9","C10","CJ","CK",4
"D3","S6","S7","D7","C7",6
"SA","S2","D3","C4","H5",5
"D6","H8","HQ","DQ","CQ",6
"C9","D10","DJ","DQ","HK",5
"S2","H2","D2","H5","S8",6
"DA","S2","H2","C2","H7",6
"D4","S5","H6","H7","S8",5
"S2","H2","D2","H6","CK",6
"C6","C7","D8","H9","S10",5
"C3","S6","H6","D6","CQ",6
"H6","C8","SJ","DJ","CJ",6
"S3","D3","C3","H10","C10",3
"H6","S8","H8","C8","CQ",6
"S6","HQ","HK","DK","CK",6
"HA","S4","H4","C4","SK",6
"D3","C9","HK","DK","CK",6
"S3","H3","D3","D8","C10",6
"H6","HQ","DQ","CQ","HK",6
"C6","D7","H8","D9","C10",5
"SA","HA","DA","S2","S10",6
"H7","D7","C7","SJ","SQ",6
"S2","S3","D3","C3","HK",6
"H2","S5","S6","D6","C6",6
"C2","S5","D5","C5","DK",6
"HA","C10","CJ","CQ","CK",5
"C2","S3","H3","D3","D6",6
"C3","C5","CJ","CQ","CK",4
"H5","S6","SK","HK","CK",6
"S2","S4","S5","S6","SQ",4
"S7","S10","SJ","HJ","DJ",6
"S5","H5","C5","S8","DK",6
"H4","H8","D8","C8","CQ",6
"C8","H9","H10","HJ","SQ",5
"S5","H5","D5","S6","SQ",6
"H2","D2","C2","H4","D9",6
"S7","H7","D7","H10","DQ",6
"H4","H7","S10","H10","C10",6
"H2","D8","SQ","DQ","CQ",6
"H6","H7","D7","C7","SK",6
"C4","D5","S8","H8","C8",6
"S2","S5","H5","C5","CJ",6
"C3","H4","C5","C6","H7",5
"SA","C2","D3","H4","D5",5
"C6","S7","H7","D7","C10",6
"H3","D3","C3","H10","SJ",6
"H2","C5","SJ","HJ","DJ",6
"DA","H4","D4","C4","CQ",6
"SA","S2","S4","S9","SJ",4
"S4","H4","D4","S5","CJ",6
"HA","DA","CA","S7","H8",6
"HA","H4","H8","HJ","HQ",4
"D3","H5","D5","C5","HQ",6
"C5","C8","S9","D9","C9",6
"HA","DA","CA","H4","CQ",6
"S5","S8","S10","H10","D10",6
"S6","C6","HK","DK","CK",3
"S7","SJ","HJ","CJ","DK",6
"C2","D3","C4","C5","C6",5
"D4","D7","SQ","HQ","DQ",6
"S7","H7","C7","CJ","DK",6
"S2","H2","D2","H3","H9",6
"H5","S10","H10","C10","DQ",6
"S7","H7","C7","H9","D9",3
"C5","S9","SK","HK","CK",6
"CA","SJ","HJ","CJ","HK",6
"D2","S5","H5","D5","CJ",6
"S3","D3","C3","S6","S8",6
"S3","H3","D3","D4","C5",6
"S2","H2","C2","D8","C9",6
"HA","H10","DJ","CQ","CK",5
"D3","S8","SQ","HQ","DQ",6
"D7","S8","C9","H10","DJ",5
"H4","D4","C4","C9","C10",6
"H6","H9","SK","HK","DK",6
"D5","C9","H10","D10","C10",6
"H3","C4","C5","H6","D7",5
"S5","SJ","HK","DK","CK",6
"S4","H4","D4","H8","HK",6
"DA","S2","S9","D9","C9",6
"S5","D6","S8","D8","C8",6
"H4","D4","C4","C7","D9",6
"S7","S8","D9","S10","CJ",5
"S3","H10","SK","DK","CK",6
"C2","H8","SK","HK","CK",6
"D6","H9","SJ","HJ","DJ",6
"H9","C9","SQ","DQ","CQ",3
"H4","D4","C4","C7","H9",6
"S5","H5","D5","D7","HJ",6
"C4","H9","SK","HK","DK",6
"D2","D7","D9","D10","DK",4
"D4","S8","H8","C8","H10",6
"S2","H2","C2","H7","H8",6
"S3","S8","HJ","DJ","CJ",6
"SA","DA","CA","S6","H9",6
"CA","H2","H3","C4","H5",5
"C8","H9","C10","HJ","DQ",5
"S5","C6","C7","D8","H9",5
"S3","H3","D3","C7","S10",6
"H2","H7","D7","C7","HJ",6
"S5","D5","C5","C6","HQ",6
"S6","H6","D6","H7","H9",6
"S5","H5","D5","H9","DJ",6
"DA","S2","H3","C4","C5",5
"HA","DA","CA","C4","HJ",6
"C6","SJ","HJ","CJ","HQ",6
"DA","S8","H8","D8","SK",6
"SA","D2","SQ","HQ","DQ",6
"C3","H4","D4","C4","S6",6
"C2","S8","H8","C8","C10",6
"S6","H6","C6","H10","CQ",6
"D3","S8","H8","D8","HK",6
"S6","S7","D7","C7","H8",6
"S2","H2","C2","S5","C7",6
"DA","H6","D6","C6","C10",6
"DA","D2","S3","H4","H5",5
"CA","S10","CJ","DQ","HK",5
"D3","H4","HJ","DJ","CJ",6
"H4","H6","H7","HJ","HQ",4
"S3","H3","C3","H10","DQ",6
"H3","D4","D5","C6","C7",5
"CA","C2","SJ","HJ","DJ",6
"CA","S3","H4","D4","C4",6
"D3","C5","SJ","HJ","CJ",6
"SA","HA","DA","D2","C9",6
"HA","DA","CA","S5","SQ",6
"H6","SJ","DJ","CJ","SQ",6
"CA","C6","H8","D8","C8",6
"S6","H6","SQ","HQ","DQ",3
"D4","SJ","HJ","CJ","DK",6
"S5","D5","C5","H10","CK",6
"C3","S6","SQ","DQ","CQ",6
"D2","D10","HJ","DJ","CJ",6
"S7","S8","C9","D10","DJ",5
"S4","S7","S8","S9","SJ",4
"SA","H10","SJ","HQ","DK",5
"S3","D4","H10","D10","C10",6
"D5","S9","SJ","HJ","CJ",6
"S5","H5","C5","C7","S9",6
"S3","H3","D3","D9","C9",3
"D2","S3","H3","D3","D8",6
"DA","S7","H7","D7","SK",6
"CA","H10","D10","C10","DQ",6
"S5","C5","HJ","DJ","CJ",3
"SA","DA","CA","H3","D4",6
"S10","SJ","HJ","DJ","CJ",2
"H2","D2","C2","H5","H7",6
"D7","S8","SQ","DQ","CQ",6
"SA","C10","HJ","SQ","CK",5
"H4","H7","D7","C7","D8",6
"H5","D9","SK","DK","CK",6
"HA","H4","H5","H9","HQ",4
"S2","D2","C2","C7","S8",6
"CA","H2","D3","H4","C5",5
"H2","S4","D4","C4","D8",6
"S3","H3","D3","D6","H10",6
"D5","D6","S7","S8","C9",5
"S3","C4","D5","C6","S7",5
"SA","DA","CA","D6","C8",6
"H6","C7","H8","S9","C10",5
"S2","H2","D2","D6","SJ",6
"C8","S9","S10","DJ","CQ",5
"S4","D4","C4","S9","CJ",6
"C4","S8","H8","D8","HK",6
"S5","S6","S8","S9","S10",4
"C2","S3","D4","H5","D6",5
"C3","SJ","HJ","CJ","CK",6
"H4","D9","H10","D10","C10",6
"C3","D4","D5","D6","C7",5
"CA","H2","SK","HK","DK",6
"HA","S4","H4","D4","SK",6
"C3","H7","D7","C7","D9",6
"S8","C8","S10","H10","C10",3
"S3","D3","C3","S6","D9",6
"D6","H8","D8","C8","HK",6
"S5","H5","D5","CJ","HK",6
"HA","S3","SJ","HJ","DJ",6
"H6","S10","H10","C10","DK",6
"HA","DA","CA","D2","H10",6
"D3","S4","H4","D4","HQ",6
"D5","H8","HK","DK","CK",6
"S2","H2","D2","D5","H8",6
"H4","C5","D6","C7","S8",5
"H3","D3","H7","D7","C7",3
"C3","C4","H8","D8","C8",6
"CA","D2","D3","S4","S5",5
"S3","S4","D4","C4","DJ",6
"H5","C8","H9","D9","C9",6
"C2","C4","C6","C9","CK",4
"D6","S9","D9","C9","DQ",6
"H2","D3","S4","H5","H6",5
"S3","H3","D3","D4","C8",6
"S3","SJ","HJ","DJ","CQ",6
"C3","H6","D6","C6","HJ",6
"DA","S4","D4","C4","CJ",6
"S4","H4","C4","H6","S9",6
"D2","C2","S7","D7","C7",3
"S2","D2","S9","H9","C9",3
"H6","DJ","SK","DK","CK",6
"SA","DA","CA","C4","H8",6
"H2","S5","H5","D5","S7",6
"S6","D6","C6","D7","D8",6
"S3","S5","S9","S10","SQ",4
"DA","S10","H10","D10","DQ",6
"C6","HQ","DQ","CQ","HK",6
"C3","C7","C9","C10","CK",4
"S7","H7","C7","S10","CJ",6
"S3","D3","HQ","DQ","CQ",3
"S7","D7","C7","H9","CQ",6
"H5","D5","C5","S6","SQ",6
"H5","S7","H7","C7","C9",6
"C4","H5","S7","H7","C7",6
"H6","D6","C6","D8","CK",6
"S4","S10","D10","C10","CQ",6
"HA","H3","H5","D5","C5",6
"SA","DA","CA","S8","D9",6
"H8","H9","C10","HJ","CQ",5
"HA","S7","H7","D7","DQ",6
"H6","D6","C6","SJ","HJ",3
"HA","S9","H9","D9","C10",6
"D5","C5","HQ","DQ","CQ",3
"D4","C5","C6","C7","C8",5
"S2","D2","C2","S7","H7",3
"S4","H4","S7","H7","D7",3
"CA","C2","C3","C7","C9",4
"H4","S7","H7","C7","DK",6
"S7","D7","C7","D8","DJ",6
"S8","H9","D10","SJ","SQ",5
"H6","D7","HJ","DJ","CJ",6
"D3","S4","H4","C4","H9",6
"HA","DA","CA","D3","SQ",6
"SA","HA","CA","S7","DJ",6
"C2","C6","C8","CJ","CK",4
"HA","S4","S7","H7","D7",6
"S2","H2","D2","S4","SJ",6
"D6","H7","SK","DK","CK",6
"D2","S3","S6","H6","D6",6
"D4","S10","H10","D10","DJ",6
"SA","DA","CA","C3","HQ",6
"S7","H7","D7","D10","HQ",6
"SA","C10","HJ","SQ","HK",5
"S3","D3","C3","S10","CK",6
"H4","S6","SJ","HJ","CJ",6
"C3","S4","D4","C4","C7",6
"H6","D6","C6","C7","HJ",6
"S3","H3","C3","D7","C10",6
"S5","H5","SK","HK","CK",3
"D2","D5","D7","D8","D9",4
"S2","S5","H5","D5","D7",6
"CA","H5","SJ","HJ","CJ",6
"S4","S9","D9","C9","H10",6
"SA","DA","CA","H2","H8",6
"HA","H3","H4","H7","H9",4
"CA","C4","C8","C10","CJ",4
"S2","H2","C2","C5","CJ",6
"HA","S2","H10","D10","C10",6
"S5","D5","C5","HQ","CQ",3
"S4","S5","S8","D8","C8",6
"H4","S9","H9","C9","HK",6
"H5","H10","D10","C10","CK",6
"S3","H3","D3","S6","S8",6
"S3","H6","S7","H7","C7",6
"H2","D10","SK","HK","DK",6
"S7","DJ","HQ","DQ","CQ",6
"S5","C6","S7","C8","C9",5
"C7","S8","D9","H10","CJ",5
"D3","S5","H5","C5","D9",6
"S5","H5","D5","S6","HJ",6
"H6","H8","HJ","HQ","HK",4
"C2","D7","S10","D10","C10",6
"S8","H8","S9","D9","C9",3
"SA","HA","DA","S3","HJ",6
"H6","C8","SK","HK","CK",6
"S4","H4","S5","D5","C5",3
"S4","S10","H10","C10","DK",6
"D6","H10","SQ","HQ","DQ",6
"HA","H3","D3","C3","C8",6
"D2","H7","D7","C7","S8",6
"D6","C7","H10","D10","C10",6
"H3","C8","SJ","DJ","CJ",6
"S7","S8","S9","C10","SJ",5
"SA","HA","DA","S4","SK",6
"H5","H7","SK","DK","CK",6
"H6","S7","H7","C7","C8",6
"SQ","HQ","CQ","HK","CK",3
"SA","DA","CA","H2","D8",6
"H7","SJ","HJ","DJ","SQ",6
"S2","C3","H4","S5","S6",5
"S4","D4","C4","H10","HJ",6
"D2","D5","D9","DJ","DQ",4
"S5","S8","H8","D8","HJ",6
"H4","D4","C4","D5","C7",6
"S4","D4","C4","D7","H8",6
"SA","S4","D4","C4","S8",6
"SA","D5","SK","HK","DK",6
"HA","H5","D5","C5","H7",6
"CA","S3","D3","C3","D8",6
"S6","D8","S10","H10","C10",6
"C5","S7","H9","D9","C9",6
"D5","S7","SK","HK","CK",6
"C8","D9","C10","SJ","SQ",5
"H4","H7","D7","C7","C10",6
"HA","H8","H9","D9","C9",6
"S9","C10","CJ","HQ","DK",5
"S2","S9","H9","D9","C10",6
"H3","D3","C3","S4","H8",6
"D5","D10","SJ","HJ","DJ",6
"S7","H7","HK","DK","CK",3
"S4","S5","C6","D7","D8",5
"D2","D7","SK","HK","CK",6
"H5","D5","C5","S8","H10",6
"S2","H2","C2","C3","C7",6
"H5","S6","D6","C6","H9",6
"S3","H3","D3","S6","HK",6
"H3","H4","H6","H10","HK",4
"SA","DA","CA","H5","C7",6
"S4","H4","H5","D5","C5",3
"S7","S8","S9","C10","DJ",5
"S3","D3","C3","S7","DJ",6
"S2","H2","D2","D8","SK",6
"S2","H2","D2","C2","C5",2
"C2","D3","D4","C5","S6",5
"SA","S7","S9","H9","D9",6
"SA","DA","CA","D6","H10",6
"H4","HJ","HQ","DQ","CQ",6
"S4","H4","D4","S5","H9",6
"C5","D6","S7","C8","H9",5
"H2","S7","SJ","HJ","CJ",6
"C6","H8","SQ","DQ","CQ",6
"C4","S5","S6","H7","H8",5
"H3","C7","H8","D8","C8",6
"HA","H3","S9","H9","C9",6
"DA","H3","S10","H10","C10",6
"H2","H3","S9","H9","D9",6
"D3","H6","D6","C6","DK",6
"CA","S5","H5","D5","S8",6
"HA","H3","H6","H7","H9",4
"H2","D2","C2","S4","HK",6
"SA","HA","CA","C7","C8",6
"H4","S8","D8","C8","CK",6
"H2","C8","SQ","DQ","CQ",6
"C6","S9","H9","C9","H10",6
"SA","HA","DA","H6","HQ",6
"C2","S5","H5","D5","S9",6
"CA","S9","D9","C9","S10",6
"DA","S4","HJ","DJ","CJ",6
"H3","D3","C3","H10","DK",6
"H4","H10","HK","DK","CK",6
"C3","S5","H5","D5","SQ",6
"SA","HA","DA","C3","S5",6
"DA","D2","H3","S4","H5",5
"C6","S8","H8","C8","DQ",6
"H3","H8","D8","C8","CQ",6
"DA","D2","SQ","DQ","CQ",6
"CA","H7","D7","C7","S10",6
"S4","S7","S10","SJ","SK",4
"SA","DA","CA","S2","S9",6
"S3","H5","SK","HK","CK",6
"SA","HA","DA","C7","D8",6
"S7","H7","C7","S8","S10",6
"SA","S4","H4","D4","C4",2
"D2","D5","SK","DK","CK",6
"HA","H4","S9","H9","C9",6
"H2","S9","H9","C9","DQ",6
"S2","H2","D2","H9","HJ",6
"S3","H3","D3","C4","C8",6
"S7","D7","HJ","DJ","CJ",3
"D4","H5","D5","C5","H9",6
"S2","C3","C4","S5","H6",5
"DA","D10","CJ","DQ","CK",5
"D2","D3","C4","H5","D6",5
"H2","D7","HQ","DQ","CQ",6
"H7","D8","D9","C10","DJ",5
"DA","CA","S9","H9","D9",3
"C8","H9","H10","SJ","DQ",5
"S6","D9","SK","DK","CK",6
"CA","S4","S7","H7","D7",6
"SA","D10","DJ","DQ","SK",5
"C2","C3","D4","D5","S6",5
"C3","D6","HK","DK","CK",6
"S2","C10","SQ","HQ","CQ",6
"H2","D3","S4","C5","H6",5
"H3","H6","SJ","HJ","DJ",6
"S3","S4","S6","S9","SQ",4
"C2","C4","C5","C10","CJ",4
"H4","D8","SK","HK","DK",6
"HA","C3","S10","D10","C10",6
"SA","HA","DA","S6","SQ",6
"D5","H8","D8","C8","HK",6
"H5","C6","H7","C8","D9",5
"S2","D4","HQ","DQ","CQ",6
"S6","H6","D6","SK","CK",3
"DA","D2","D4","D10","DK",4
"S2","D2","C2","C6","S8",6
"S2","D2","C2","S6","S8",6
"H2","D3","SQ","HQ","CQ",6
"D3","H4","D5","S6","H7",5
"HA","C6","S8","H8","D8",6
"H2","D2","C2","C5","DQ",6
"S2","C9","SJ","HJ","DJ",6
"S3","H3","D3","H8","C9",6
"S3","H3","C3","D7","SQ",6
"CA","C4","S8","H8","C8",6
"SA","HA","CA","S4","SJ",6
"SA","DA","CA","SJ","DQ",6
"C5","SJ","HK","DK","CK",6
"H3","S7","D7","C7","D9",6
"S4","H4","S10","H10","C10",3
"H6","S9","H9","C9","SJ",6
"H2","D2","C2","C7","C8",6
"C4","S9","D9","C9","SQ",6
"HA","DA","CA","H3","CQ",6
"SA","HA","DA","D4","DJ",6
"SA","DA","CA","D8","SQ",6
"C2","C3","C5","C9","CK",4
"S2","H2","C2","S5","DQ",6
"CA","H4","H9","D9","C9",6
"SA","DA","CA","H2","H7",6
"S6","H6","C6","D10","CK",6
"DA","S7","D7","C7","DK",6
"H2","S5","H5","C5","SJ",6
"S7","H8","C9","S10","HJ",5
"S6","S7","D8","H9","H10",5
"H4","S6","D6","C6","H7",6
"SA","HA","DA","S10","SK",6
"D4","C4","S10","H10","D10",3
"SA","S10","D10","C10","DK",6
"DA","CA","S5","H5","D5",3
"H3","D3","C3","S5","CQ",6
"D4","S7","SJ","HJ","CJ",6
"S5","H5","D5","HJ","SK",6
"S3","S6","H6","D6","C9",6
"D2","C6","SJ","HJ","CJ",6
"SA","HA","CA","D6","HJ",6
"DA","C3","S9","D9","C9",6
"S2","D2","C2","H4","HK",6
"HA","DA","HK","DK","CK",3
"S2","D2","C2","S6","H9",6
"SA","H9","SJ","HJ","CJ",6
"S5","D5","C5","C9","SK",6
"HA","DA","CA","S3","D10",6
"C2","H6","D6","C6","S10",6
"HA","H10","HJ","HQ","CK",5
